Text,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
1,Text,12/1/1971,The Declaration of Independence of the United States of America,en,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources; United States. Declaration of Independence",E201; JK,Politics; American Revolutionary War; United States Law
2,Text,12/1/1972,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",en,United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,JK; KF,Politics; American Revolutionary War; United States Law
4,Text,11/1/1973,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",en,"Lincoln, Abraham, 1809-1865","Consecration of cemeteries -- Pennsylvania -- Gettysburg; Soldiers' National Cemetery (Gettysburg, Pa.); Lincoln, Abraham, 1809-1865. Gettysburg address",E456,US Civil War
5,Text,12/1/1975,The United States Constitution,en,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,JK; KF,United States; Politics; American Revolutionary War; United States Law
7,Text,12/1/1977,The Mayflower Compact,en,,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources; Pilgrims (New Plymouth Colony); Mayflower Compact (1620)",F001,
10,Text,8/1/1989,The King James Version of the Bible,en,,Bible,BS,Banned Books List from the American Library Association
12,Text,6/25/2008,Through the Looking-Glass,en,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,Best Books Ever Listings; Children's Literature
13,Text,6/25/2008,The Hunting of the Snark: An Agony in Eight Fits,en,"Carroll, Lewis, 1832-1898","Nonsense verses, English",PR,Children's Literature
14,Text,4/1/1991,The 1990 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks
15,Text,5/1/1991,"Moby-Dick; or, The Whale",en,"Melville, Herman, 1819-1891","Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",PS,Best Books Ever Listings; Adventure
46404,Text,7/25/2014,Mimi at Sheridan School,en,"Davis, Anne Pence",Schools -- Juvenile fiction; Friendship -- Juvenile fiction; Boarding schools -- Juvenile fiction; Girls -- Juvenile fiction; Boarding school students -- Juvenile fiction,PZ,
48116,Text,1/30/2015,"A Guide to the Mount's Bay and the Land's End
Comprehending the topography, botany, agriculture, fisheries, antiquities, mining, mineralogy and geology of West Cornwall",en,"Paris, John Ayrton, 1785-1856",Cornwall (England : County) -- Guidebooks,DA,
48195,Text,2/8/2015,A Report upon the Mollusk Fisheries of Massachusetts,en,"Belding, David Lawrence, 1884-1970; Massachusetts. Commissioners on Fisheries and Game",Shellfish fisheries -- Massachusetts,SH,
48305,Text,2/18/2015,"The Fleets Behind the Fleet
The Work of the Merchant Seamen and Fishermen in the War",en,"Dixon, W. MacNeile (William MacNeile), 1866-1945","World War, 1914-1918 -- Naval operations; World War, 1914-1918 -- Naval operations, British; Merchant mariners -- Great Britain",D501,
48320,Text,2/20/2015,"Adventures of Sherlock Holmes
Illustrated",en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,
49109,Text,6/2/2015,"John Sherman; and, Dhoya",en,"Yeats, W. B. (William Butler), 1865-1939","Tales -- Ireland -- Adaptations; Mythology, Celtic -- Fiction; Young men -- Ireland -- Fiction",PR,
834,Text,3/1/1997,The Memoirs of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,Detective Fiction
3399,Text,8/1/2002,Complete Project Gutenberg William Dean Howells Literature Essays,en,"Howells, William Dean, 1837-1920","Literature -- History and criticism; American literature -- 19th century -- History and criticism; Authors, American -- 19th century -- Biography",PS,
221,Text,1995-02-01,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,Detective Fiction
3400,Text,8/1/2002,Complete Project Gutenberg William Dean Howells Works,en,"Howells, William Dean, 1837-1920",Literature -- History and criticism; American literature -- 19th century,PS,
38716,Text,2012-01-30,Slavery and the Constitution,en,"Bowditch, William I. (William Ingersoll), 1819-1909",Slavery -- United States; Enslaved persons -- United States -- Social conditions,E300,
49135,Text,2015-06-04,"Luther, vol. 4 of 6",en,"Grisar, Hartmann, 1845-1932; Dessoulavy, C. L. (Charles Louis) [Editor]; Lamond, E. M. [Translator]","Luther, Martin, 1483-1546",BR,
48860,Text,2015-05-03,The Brown Owl: A Fairy Story,en,"Ford, Ford Madox, 1873-1939; Brown, Ford Madox, 1821-1893 [Illustrator]",Fairy tales; Fantasy fiction; Magic -- Juvenile fiction; Princesses -- Juvenile fiction; Fathers and daughters -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Courtship -- Juvenile fiction; Owls -- Juvenile fiction; Magicians -- Juvenile fiction,PZ,
